col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,binaryClass
b'76',33.0,33.0,262.0,307.0,1.1718,5.5683,5.7268,b'P'
b'76',34.0,34.0,259.0,306.0,1.1815,5.5568,5.7236,b'P'
b'76',35.0,35.0,257.0,306.0,1.1907,5.5491,5.7236,b'P'
b'76',36.0,36.0,262.0,306.0,1.1679,5.5683,5.7236,b'P'
b'76',37.0,37.0,264.0,306.0,1.1591,5.5759,5.7236,b'P'
b'76',38.0,38.0,268.0,313.0,1.1679,5.591,5.7462,b'P'
b'76',39.0,39.0,276.0,319.0,1.1558,5.6204,5.7652,b'P'
b'76',40.0,40.0,283.0,324.0,1.1449,5.6454,5.7807,b'P'
b'76',41.0,41.0,290.0,332.0,1.1448,5.6699,5.8051,b'P'
b'76',42.0,42.0,286.0,320.0,1.1189,5.656,5.7683,b'P'
b'76',43.0,43.0,288.0,320.0,1.1111,5.663,5.7683,b'P'
b'76',44.0,44.0,286.0,314.0,1.0979,5.656,5.7494,b'P'
b'76',45.0,45.0,279.0,306.0,1.0968,5.6312,5.7236,b'P'
b'76',46.0,46.0,279.0,307.0,1.1004,5.6312,5.7268,b'P'
b'76',47.0,47.0,280.0,308.0,1.1,5.6348,5.7301,b'P'
b'76',48.0,48.0,321.0,358.0,1.1153,5.7714,5.8805,b'P'
b'76',49.0,49.0,328.0,358.0,1.0915,5.793,5.8805,b'P'
b'76',50.0,50.0,334.0,360.0,1.0778,5.8111,5.8861,b'P'
b'77',2.0,54.0,332.0,360.0,1.0843,5.8051,5.8861,b'P'
b'77',3.0,55.0,332.0,362.0,1.0904,5.8051,5.8916,b'P'
b'77',4.0,56.0,326.0,361.0,1.1074,5.7869,5.8889,b'P'
b'77',5.0,57.0,322.0,359.0,1.1149,5.7746,5.8833,b'P'
b'77',6.0,58.0,324.0,359.0,1.108,5.7807,5.8833,b'P'
b'77',7.0,59.0,322.0,359.0,1.1149,5.7746,5.8833,b'P'
b'77',8.0,60.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',9.0,61.0,314.0,357.0,1.1369,5.7494,5.8777,b'P'
b'77',10.0,62.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',11.0,63.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',12.0,64.0,315.0,357.0,1.1333,5.7526,5.8777,b'P'
b'77',13.0,65.0,314.0,356.0,1.1338,5.7494,5.8749,b'P'
b'77',16.0,68.0,313.0,354.0,1.131,5.7462,5.8693,b'P'
b'77',17.0,69.0,312.0,354.0,1.1346,5.743,5.8693,b'P'
b'77',18.0,70.0,307.0,354.0,1.1531,5.7268,5.8693,b'P'
b'77',19.0,71.0,305.0,354.0,1.1607,5.7203,5.8693,b'P'
b'77',20.0,72.0,305.0,354.0,1.1607,5.7203,5.8693,b'P'
b'77',21.0,73.0,299.0,354.0,1.1839,5.7004,5.8693,b'P'
b'77',22.0,74.0,297.0,354.0,1.1919,5.6937,5.8693,b'P'
b'77',23.0,75.0,300.0,354.0,1.18,5.7038,5.8693,b'P'
b'77',24.0,76.0,300.0,354.0,1.18,5.7038,5.8693,b'P'
b'77',25.0,77.0,302.0,354.0,1.1722,5.7104,5.8693,b'P'
b'77',26.0,78.0,300.0,354.0,1.18,5.7038,5.8693,b'P'
b'77',33.0,85.0,293.0,349.0,1.1911,5.6802,5.8551,b'P'
b'77',34.0,86.0,293.0,349.0,1.1911,5.6802,5.8551,b'P'
b'77',35.0,87.0,293.0,347.0,1.1843,5.6802,5.8493,b'P'
b'77',36.0,88.0,296.0,347.0,1.1723,5.6904,5.8493,b'P'
b'77',37.0,89.0,295.0,347.0,1.1763,5.687,5.8493,b'P'
b'77',38.0,90.0,297.0,347.0,1.1684,5.6937,5.8493,b'P'
b'77',39.0,91.0,298.0,347.0,1.1644,5.6971,5.8493,b'P'
b'77',40.0,92.0,299.0,346.0,1.1572,5.7004,5.8464,b'P'
b'77',41.0,93.0,301.0,347.0,1.1528,5.7071,5.8493,b'P'
b'77',42.0,94.0,305.0,348.0,1.141,5.7203,5.8522,b'P'
b'77',43.0,95.0,307.0,348.0,1.1336,5.7268,5.8522,b'P'
b'77',44.0,96.0,306.0,346.0,1.1307,5.7236,5.8464,b'P'
b'77',45.0,97.0,303.0,345.0,1.1386,5.7137,5.8435,b'P'
b'77',46.0,98.0,304.0,345.0,1.1349,5.717,5.8435,b'P'
b'77',47.0,99.0,303.0,345.0,1.1386,5.7137,5.8435,b'P'
b'77',48.0,100.0,300.0,345.0,1.15,5.7038,5.8435,b'P'
b'77',49.0,101.0,299.0,345.0,1.1538,5.7004,5.8435,b'P'
b'77',50.0,102.0,297.0,345.0,1.1616,5.6937,5.8435,b'P'
b'78',2.0,106.0,297.0,345.0,1.1616,5.6937,5.8435,b'P'
b'78',3.0,107.0,297.0,345.0,1.1616,5.6937,5.8435,b'P'
b'78',4.0,108.0,298.0,345.0,1.1577,5.6971,5.8435,b'P'
b'78',5.0,109.0,299.0,345.0,1.1538,5.7004,5.8435,b'P'
b'78',6.0,110.0,303.0,347.0,1.1452,5.7137,5.8493,b'P'
b'78',7.0,111.0,304.0,348.0,1.1447,5.717,5.8522,b'P'
b'78',8.0,112.0,304.0,349.0,1.148,5.717,5.8551,b'P'
b'78',9.0,113.0,306.0,350.0,1.1438,5.7236,5.8579,b'P'
b'78',10.0,114.0,307.0,348.0,1.1336,5.7268,5.8522,b'P'
b'78',11.0,115.0,304.0,347.0,1.1414,5.717,5.8493,b'P'
b'78',15.0,119.0,305.0,350.0,1.1475,5.7203,5.8579,b'P'
b'78',16.0,120.0,307.0,353.0,1.1498,5.7268,5.8665,b'P'
b'78',17.0,121.0,307.0,354.0,1.1531,5.7268,5.8693,b'P'
b'78',18.0,122.0,307.0,355.0,1.1564,5.7268,5.8721,b'P'
b'78',19.0,123.0,308.0,355.0,1.1526,5.7301,5.8721,b'P'
b'78',20.0,124.0,308.0,355.0,1.1526,5.7301,5.8721,b'P'
b'78',21.0,125.0,309.0,355.0,1.1489,5.7333,5.8721,b'P'
b'78',22.0,126.0,312.0,355.0,1.1378,5.743,5.8721,b'P'
b'78',23.0,127.0,315.0,358.0,1.1365,5.7526,5.8805,b'P'
b'78',24.0,128.0,314.0,358.0,1.1401,5.7494,5.8805,b'P'
b'78',25.0,129.0,310.0,355.0,1.1452,5.7366,5.8721,b'P'
b'78',33.0,137.0,316.0,356.0,1.1266,5.7557,5.8749,b'P'
b'78',34.0,138.0,314.0,356.0,1.1338,5.7494,5.8749,b'P'
b'78',35.0,139.0,316.0,356.0,1.1266,5.7557,5.8749,b'P'
b'78',36.0,140.0,314.0,356.0,1.1338,5.7494,5.8749,b'P'
b'78',37.0,141.0,314.0,356.0,1.1338,5.7494,5.8749,b'P'
b'78',38.0,142.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'78',39.0,143.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'78',40.0,144.0,316.0,356.0,1.1266,5.7557,5.8749,b'P'
b'78',41.0,145.0,317.0,358.0,1.1293,5.7589,5.8805,b'P'
b'78',42.0,146.0,317.0,358.0,1.1293,5.7589,5.8805,b'P'
b'78',43.0,147.0,316.0,358.0,1.1329,5.7557,5.8805,b'P'
b'78',44.0,148.0,315.0,359.0,1.1397,5.7526,5.8833,b'P'
b'78',45.0,149.0,315.0,359.0,1.1397,5.7526,5.8833,b'P'
b'78',46.0,150.0,315.0,358.0,1.1365,5.7526,5.8805,b'P'
b'78',47.0,151.0,315.0,357.0,1.1333,5.7526,5.8777,b'P'
b'78',48.0,152.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'78',49.0,153.0,318.0,360.0,1.1321,5.7621,5.8861,b'P'
b'78',50.0,154.0,318.0,360.0,1.1321,5.7621,5.8861,b'P'
b'79',2.0,158.0,318.0,358.0,1.1258,5.7621,5.8805,b'P'
b'79',3.0,159.0,319.0,359.0,1.1254,5.7652,5.8833,b'P'
b'79',4.0,160.0,319.0,363.0,1.1379,5.7652,5.8944,b'P'
b'79',5.0,161.0,320.0,363.0,1.1344,5.7683,5.8944,b'P'
b'79',6.0,162.0,322.0,371.0,1.1522,5.7746,5.9162,b'P'
b'79',7.0,163.0,330.0,379.0,1.1485,5.7991,5.9375,b'P'
b'79',8.0,164.0,343.0,400.0,1.1662,5.8377,5.9915,b'P'
b'79',9.0,165.0,354.0,405.0,1.1441,5.8693,6.0039,b'P'
b'79',10.0,166.0,356.0,412.0,1.1573,5.8749,6.021,b'P'
b'79',11.0,167.0,366.0,427.0,1.1667,5.9026,6.0568,b'P'
b'79',12.0,168.0,364.0,427.0,1.1731,5.8972,6.0568,b'P'
b'79',13.0,169.0,371.0,434.0,1.1698,5.9162,6.073,b'P'
b'79',14.0,170.0,369.0,448.0,1.2141,5.9108,6.1048,b'P'
b'79',18.0,174.0,364.0,448.0,1.2308,5.8972,6.1048,b'P'
b'79',19.0,175.0,363.0,469.0,1.292,5.8944,6.1506,b'N'
b'79',20.0,176.0,362.0,469.0,1.2956,5.8916,6.1506,b'N'
b'79',21.0,177.0,364.0,469.0,1.2885,5.8972,6.1506,b'N'
b'79',22.0,178.0,361.0,469.0,1.2992,5.8889,6.1506,b'N'
b'79',23.0,179.0,360.0,469.0,1.3028,5.8861,6.1506,b'N'
b'79',24.0,180.0,362.0,462.0,1.2762,5.8916,6.1356,b'N'
b'79',25.0,181.0,363.0,462.0,1.2727,5.8944,6.1356,b'N'
b'79',26.0,182.0,361.0,462.0,1.2798,5.8889,6.1356,b'N'
b'79',31.0,187.0,364.0,462.0,1.2692,5.8972,6.1356,b'N'
b'79',34.0,190.0,369.0,464.0,1.2575,5.9108,6.1399,b'P'
b'79',35.0,191.0,365.0,464.0,1.2712,5.8999,6.1399,b'N'
b'79',36.0,192.0,366.0,464.0,1.2678,5.9026,6.1399,b'N'
b'79',37.0,193.0,368.0,469.0,1.2745,5.9081,6.1506,b'N'
b'79',38.0,194.0,370.0,469.0,1.2676,5.9135,6.1506,b'N'
b'79',39.0,195.0,382.0,490.0,1.2827,5.9454,6.1944,b'N'
b'79',40.0,196.0,408.0,521.0,1.277,6.0113,6.2558,b'N'
b'79',41.0,197.0,414.0,536.0,1.2947,6.0259,6.2841,b'N'
b'79',42.0,198.0,400.0,536.0,1.34,5.9915,6.2841,b'N'
b'79',43.0,199.0,405.0,533.0,1.316,6.0039,6.2785,b'N'
b'79',44.0,200.0,397.0,525.0,1.3224,5.9839,6.2634,b'N'
b'79',45.0,201.0,394.0,519.0,1.3173,5.9764,6.2519,b'N'
b'79',46.0,202.0,397.0,523.0,1.3174,5.9839,6.2596,b'N'
b'79',47.0,203.0,388.0,517.0,1.3325,5.961,6.248,b'N'
b'79',48.0,204.0,379.0,509.0,1.343,5.9375,6.2324,b'N'
b'79',49.0,205.0,377.0,507.0,1.3448,5.9322,6.2285,b'N'
b'79',50.0,206.0,380.0,500.0,1.3158,5.9402,6.2146,b'N'
b'80',2.0,210.0,383.0,510.0,1.3316,5.948,6.2344,b'N'
b'80',3.0,211.0,394.0,524.0,1.3299,5.9764,6.2615,b'N'
b'80',4.0,212.0,408.0,538.0,1.3186,6.0113,6.2879,b'N'
b'80',5.0,213.0,413.0,538.0,1.3027,6.0234,6.2879,b'N'
b'80',7.0,215.0,433.0,573.0,1.3233,6.0707,6.3509,b'N'
b'80',13.0,221.0,415.0,570.0,1.3735,6.0283,6.3456,b'N'
b'80',14.0,222.0,414.0,566.0,1.3671,6.0259,6.3386,b'N'
b'80',15.0,223.0,414.0,567.0,1.3696,6.0259,6.3404,b'N'
b'80',16.0,224.0,412.0,584.0,1.4175,6.021,6.3699,b'N'
b'80',17.0,225.0,405.0,585.0,1.4444,6.0039,6.3716,b'N'
b'80',18.0,226.0,396.0,564.0,1.4242,5.9814,6.3351,b'N'
b'80',19.0,227.0,396.0,565.0,1.4268,5.9814,6.3368,b'N'
b'80',20.0,228.0,405.0,573.0,1.4148,6.0039,6.3509,b'N'
b'80',22.0,230.0,407.0,587.0,1.4423,6.0088,6.375,b'N'
b'80',23.0,231.0,409.0,585.0,1.4303,6.0137,6.3716,b'N'
b'80',24.0,232.0,403.0,578.0,1.4342,5.9989,6.3596,b'N'
b'80',25.0,233.0,402.0,578.0,1.4378,5.9965,6.3596,b'N'
b'80',26.0,234.0,401.0,578.0,1.4414,5.994,6.3596,b'N'
b'80',31.0,239.0,396.0,576.0,1.4545,5.9814,6.3561,b'N'
b'80',35.0,243.0,398.0,563.0,1.4146,5.9865,6.3333,b'N'
b'80',36.0,244.0,394.0,557.0,1.4137,5.9764,6.3226,b'N'
b'80',37.0,245.0,396.0,550.0,1.3889,5.9814,6.3099,b'N'
b'80',38.0,246.0,404.0,564.0,1.396,6.0014,6.3351,b'N'
b'80',39.0,247.0,408.0,564.0,1.3824,6.0113,6.3351,b'N'
b'80',40.0,248.0,401.0,564.0,1.4065,5.994,6.3351,b'N'
b'80',41.0,249.0,398.0,548.0,1.3769,5.9865,6.3063,b'N'
b'80',42.0,250.0,392.0,535.0,1.3648,5.9713,6.2823,b'N'
b'80',43.0,251.0,393.0,542.0,1.3791,5.9738,6.2953,b'N'
b'80',44.0,252.0,397.0,536.0,1.3501,5.9839,6.2841,b'N'
b'80',45.0,253.0,400.0,536.0,1.34,5.9915,6.2841,b'N'
b'80',46.0,254.0,403.0,540.0,1.34,5.9989,6.2916,b'N'
b'80',47.0,255.0,416.0,543.0,1.3053,6.0307,6.2971,b'N'
b'80',48.0,256.0,415.0,544.0,1.3108,6.0283,6.2989,b'N'
b'80',49.0,257.0,414.0,536.0,1.2947,6.0259,6.2841,b'N'
b'80',50.0,258.0,414.0,526.0,1.2705,6.0259,6.2653,b'N'
b'81',3.0,263.0,415.0,528.0,1.2723,6.0283,6.2691,b'N'
b'81',4.0,264.0,425.0,530.0,1.2471,6.0521,6.2729,b'P'
b'81',5.0,265.0,427.0,534.0,1.2506,6.0568,6.2804,b'P'
b'81',6.0,266.0,426.0,526.0,1.2347,6.0544,6.2653,b'P'
b'81',7.0,267.0,421.0,525.0,1.247,6.0426,6.2634,b'P'
b'81',8.0,268.0,420.0,525.0,1.25,6.0403,6.2634,b'P'
b'81',9.0,269.0,419.0,524.0,1.2506,6.0379,6.2615,b'P'
b'81',10.0,270.0,417.0,523.0,1.2542,6.0331,6.2596,b'P'
b'81',11.0,271.0,411.0,519.0,1.2628,6.0186,6.2519,b'N'
b'81',12.0,272.0,406.0,519.0,1.2783,6.0064,6.2519,b'N'
b'81',13.0,273.0,410.0,533.0,1.3,6.0162,6.2785,b'N'
b'81',14.0,274.0,409.0,540.0,1.3203,6.0137,6.2916,b'N'
b'81',15.0,275.0,411.0,540.0,1.3139,6.0186,6.2916,b'N'
b'81',18.0,278.0,413.0,543.0,1.3148,6.0234,6.2971,b'N'
b'81',19.0,279.0,415.0,543.0,1.3084,6.0283,6.2971,b'N'
b'81',20.0,280.0,419.0,546.0,1.3031,6.0379,6.3026,b'N'
b'81',21.0,281.0,423.0,541.0,1.279,6.0474,6.2934,b'N'
b'81',22.0,282.0,422.0,539.0,1.2773,6.045,6.2897,b'N'
b'81',23.0,283.0,425.0,539.0,1.2682,6.0521,6.2897,b'N'
b'81',25.0,285.0,428.0,539.0,1.2593,6.0591,6.2897,b'P'
b'81',26.0,286.0,427.0,543.0,1.2717,6.0568,6.2971,b'N'
b'81',31.0,291.0,427.0,543.0,1.2717,6.0568,6.2971,b'N'
b'81',35.0,295.0,425.0,543.0,1.2776,6.0521,6.2971,b'N'
b'81',36.0,296.0,423.0,518.0,1.2246,6.0474,6.25,b'P'
b'81',37.0,297.0,422.0,519.0,1.2299,6.045,6.2519,b'P'
b'81',39.0,299.0,422.0,519.0,1.2299,6.045,6.2519,b'P'
b'81',40.0,300.0,420.0,519.0,1.2357,6.0403,6.2519,b'P'
b'81',41.0,301.0,421.0,522.0,1.2399,6.0426,6.2577,b'P'
b'81',42.0,302.0,421.0,523.0,1.2423,6.0426,6.2596,b'P'
b'81',43.0,303.0,418.0,520.0,1.244,6.0355,6.2538,b'P'
b'81',44.0,304.0,421.0,522.0,1.2399,6.0426,6.2577,b'P'
b'81',45.0,305.0,420.0,520.0,1.2381,6.0403,6.2538,b'P'
b'81',46.0,306.0,422.0,524.0,1.2417,6.045,6.2615,b'P'
b'81',47.0,307.0,424.0,523.0,1.2335,6.0497,6.2596,b'P'
b'81',48.0,308.0,425.0,523.0,1.2306,6.0521,6.2596,b'P'
b'81',49.0,309.0,423.0,522.0,1.234,6.0474,6.2577,b'P'
b'81',50.0,310.0,422.0,522.0,1.237,6.045,6.2577,b'P'
b'81',51.0,311.0,422.0,524.0,1.2417,6.045,6.2615,b'P'
b'82',3.0,315.0,423.0,524.0,1.2388,6.0474,6.2615,b'P'
b'82',4.0,316.0,423.0,530.0,1.253,6.0474,6.2729,b'P'
b'82',5.0,317.0,427.0,535.0,1.2529,6.0568,6.2823,b'P'
b'82',6.0,318.0,428.0,535.0,1.25,6.0591,6.2823,b'P'
b'82',7.0,319.0,437.0,544.0,1.2449,6.0799,6.2989,b'P'
b'82',8.0,320.0,441.0,550.0,1.2472,6.089,6.3099,b'P'
b'82',9.0,321.0,440.0,550.0,1.25,6.0868,6.3099,b'P'
b'82',10.0,322.0,445.0,554.0,1.2449,6.0981,6.3172,b'P'
b'82',11.0,323.0,446.0,561.0,1.2578,6.1003,6.3297,b'P'
b'82',12.0,324.0,443.0,579.0,1.307,6.0936,6.3613,b'N'
b'82',13.0,325.0,445.0,579.0,1.3011,6.0981,6.3613,b'N'
b'82',14.0,326.0,444.0,582.0,1.3108,6.0958,6.3665,b'N'
b'82',18.0,330.0,446.0,585.0,1.3117,6.1003,6.3716,b'N'
b'82',19.0,331.0,445.0,581.0,1.3056,6.0981,6.3648,b'N'
b'82',20.0,332.0,443.0,581.0,1.3115,6.0936,6.3648,b'N'
b'82',21.0,333.0,442.0,581.0,1.3145,6.0913,6.3648,b'N'
b'82',22.0,334.0,446.0,580.0,1.3004,6.1003,6.363,b'N'
b'82',23.0,335.0,448.0,579.0,1.2924,6.1048,6.3613,b'N'
b'82',24.0,336.0,449.0,579.0,1.2895,6.107,6.3613,b'N'
b'82',25.0,337.0,445.0,579.0,1.3011,6.0981,6.3613,b'N'
b'82',26.0,338.0,443.0,579.0,1.307,6.0936,6.3613,b'N'
b'82',27.0,339.0,437.0,579.0,1.3249,6.0799,6.3613,b'N'
b'82',30.0,342.0,439.0,579.0,1.3189,6.0845,6.3613,b'N'
b'82',34.0,346.0,433.0,572.0,1.321,6.0707,6.3491,b'N'
b'82',35.0,347.0,431.0,572.0,1.3271,6.0661,6.3491,b'N'
b'82',36.0,348.0,430.0,572.0,1.3302,6.0638,6.3491,b'N'
b'82',37.0,349.0,437.0,576.0,1.3181,6.0799,6.3561,b'N'
b'82',38.0,350.0,435.0,576.0,1.3241,6.0753,6.3561,b'N'
b'82',39.0,351.0,433.0,561.0,1.2956,6.0707,6.3297,b'N'
b'82',40.0,352.0,432.0,561.0,1.2986,6.0684,6.3297,b'N'
b'82',41.0,353.0,432.0,553.0,1.2801,6.0684,6.3154,b'N'
b'82',42.0,354.0,431.0,558.0,1.2947,6.0661,6.3244,b'N'
b'82',43.0,355.0,432.0,553.0,1.2801,6.0684,6.3154,b'N'
b'82',44.0,356.0,432.0,547.0,1.2662,6.0684,6.3044,b'N'
b'82',45.0,357.0,432.0,562.0,1.3009,6.0684,6.3315,b'N'
b'82',46.0,358.0,432.0,565.0,1.3079,6.0684,6.3368,b'N'
b'82',47.0,359.0,430.0,564.0,1.3116,6.0638,6.3351,b'N'
b'82',48.0,360.0,427.0,551.0,1.2904,6.0568,6.3117,b'N'
b'82',49.0,361.0,426.0,549.0,1.2887,6.0544,6.3081,b'N'
b'82',50.0,362.0,426.0,549.0,1.2887,6.0544,6.3081,b'N'
b'83',2.0,366.0,429.0,556.0,1.296,6.0615,6.3208,b'N'
b'83',3.0,367.0,432.0,563.0,1.3032,6.0684,6.3333,b'N'
b'83',4.0,368.0,435.0,579.0,1.331,6.0753,6.3613,b'N'
b'83',5.0,369.0,438.0,580.0,1.3242,6.0822,6.363,b'N'
b'83',6.0,370.0,438.0,582.0,1.3288,6.0822,6.3665,b'N'
b'83',7.0,371.0,436.0,577.0,1.3234,6.0776,6.3578,b'N'
b'83',8.0,372.0,435.0,578.0,1.3287,6.0753,6.3596,b'N'
b'83',9.0,373.0,435.0,576.0,1.3241,6.0753,6.3561,b'N'
b'83',10.0,374.0,471.0,626.0,1.3291,6.1549,6.4394,b'N'
b'83',11.0,375.0,471.0,628.0,1.3333,6.1549,6.4425,b'N'
b'83',12.0,376.0,466.0,641.0,1.3755,6.1442,6.463,b'N'
b'83',13.0,377.0,467.0,623.0,1.334,6.1463,6.4345,b'N'
b'83',17.0,381.0,470.0,639.0,1.3596,6.1527,6.4599,b'N'
b'83',18.0,382.0,470.0,643.0,1.3681,6.1527,6.4661,b'N'
b'83',19.0,383.0,470.0,632.0,1.3447,6.1527,6.4489,b'N'
b'83',20.0,384.0,468.0,632.0,1.3504,6.1485,6.4489,b'N'
b'83',21.0,385.0,467.0,632.0,1.3533,6.1463,6.4489,b'N'
b'83',22.0,386.0,472.0,635.0,1.3453,6.157,6.4536,b'N'
b'83',23.0,387.0,473.0,635.0,1.3425,6.1591,6.4536,b'N'
b'83',24.0,388.0,474.0,644.0,1.3586,6.1612,6.4677,b'N'
b'83',25.0,389.0,471.0,642.0,1.3631,6.1549,6.4646,b'N'
b'83',30.0,394.0,481.0,638.0,1.3264,6.1759,6.4583,b'N'
b'83',34.0,398.0,481.0,627.0,1.3035,6.1759,6.4409,b'N'
b'83',35.0,399.0,481.0,627.0,1.3035,6.1759,6.4409,b'N'
b'83',36.0,400.0,481.0,624.0,1.2973,6.1759,6.4362,b'N'
b'83',37.0,401.0,482.0,627.0,1.3008,6.1779,6.4409,b'N'
b'83',38.0,402.0,482.0,627.0,1.3008,6.1779,6.4409,b'N'
b'83',39.0,403.0,482.0,633.0,1.3133,6.1779,6.4505,b'N'
b'83',40.0,404.0,481.0,624.0,1.2973,6.1759,6.4362,b'N'
b'83',41.0,405.0,480.0,620.0,1.2917,6.1738,6.4297,b'N'
b'83',42.0,406.0,479.0,617.0,1.2881,6.1717,6.4249,b'N'
b'83',43.0,407.0,477.0,620.0,1.2998,6.1675,6.4297,b'N'
b'83',44.0,408.0,477.0,625.0,1.3103,6.1675,6.4378,b'N'
b'83',45.0,409.0,477.0,620.0,1.2998,6.1675,6.4297,b'N'
b'83',46.0,410.0,476.0,624.0,1.3109,6.1654,6.4362,b'N'
b'83',47.0,411.0,476.0,623.0,1.3088,6.1654,6.4345,b'N'
b'83',48.0,412.0,476.0,627.0,1.3172,6.1654,6.4409,b'N'
b'83',49.0,413.0,475.0,628.0,1.3221,6.1633,6.4425,b'N'
b'83',50.0,414.0,476.0,636.0,1.3361,6.1654,6.4552,b'N'
b'84',2.0,418.0,480.0,649.0,1.3521,6.1738,6.4754,b'N'
b'84',3.0,419.0,483.0,671.0,1.3892,6.18,6.5088,b'N'
b'84',4.0,420.0,488.0,717.0,1.4693,6.1903,6.5751,b'N'
b'84',5.0,421.0,490.0,748.0,1.5265,6.1944,6.6174,b'N'
b'84',6.0,422.0,488.0,726.0,1.4877,6.1903,6.5876,b'N'
b'84',7.0,423.0,490.0,754.0,1.5388,6.1944,6.6254,b'N'
b'84',8.0,424.0,490.0,754.0,1.5388,6.1944,6.6254,b'N'
b'84',9.0,425.0,493.0,791.0,1.6045,6.2005,6.6733,b'N'
b'84',10.0,426.0,490.0,775.0,1.5816,6.1944,6.6529,b'N'
b'84',11.0,427.0,490.0,773.0,1.5776,6.1944,6.6503,b'N'
b'84',12.0,428.0,487.0,770.0,1.5811,6.1883,6.6464,b'N'
b'84',13.0,429.0,492.0,786.0,1.5976,6.1985,6.667,b'N'
b'84',14.0,430.0,495.0,786.0,1.5879,6.2046,6.667,b'N'
b'84',18.0,434.0,494.0,786.0,1.5911,6.2025,6.667,b'N'
b'84',19.0,435.0,496.0,786.0,1.5847,6.2066,6.667,b'N'
b'84',20.0,436.0,495.0,786.0,1.5879,6.2046,6.667,b'N'
b'84',21.0,437.0,495.0,786.0,1.5879,6.2046,6.667,b'N'
b'84',22.0,438.0,497.0,786.0,1.5815,6.2086,6.667,b'N'
b'84',25.0,441.0,496.0,786.0,1.5847,6.2066,6.667,b'N'
b'84',26.0,442.0,499.0,786.0,1.5752,6.2126,6.667,b'N'
