year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,GG_new
b'6f',b'86',3.0,1.0,b'1',b'0',b'D',b'F',b'low'
b'6f',b'86',3.0,2.0,b'0',b'0',b'D',b'F',b'high'
b'6f',b'86',3.0,3.0,b'1',b'1',b'D',b'F',b'high'
b'6f',b'86',3.0,4.0,b'1',b'0',b'D',b'F',b'high'
b'6f',b'86',3.0,5.0,b'0',b'0',b'D',b'F',b'low'
b'6f',b'86',4.0,1.0,b'0',b'1',b'D',b'F',b'low'
b'6f',b'86',4.0,2.0,b'2',b'2',b'D',b'F',b'high'
b'6f',b'86',4.0,3.0,b'1',b'0',b'D',b'F',b'low'
b'6m',b'86',6.0,1.0,b'2',b'0',b'D',b'M',b'average'
b'6m',b'86',6.0,2.0,b'3',b'3',b'D',b'M',b'average'
b'6m',b'86',6.0,3.0,b'1',b'1',b'D',b'M',b'low'
b'6c',b'86',10.0,1.0,b'1',b'1',b'D',b'C',b'high'
b'6c',b'86',10.0,2.0,b'3',b'4',b'O',b'C',b'high'
b'6c',b'86',10.0,3.0,b'3',b'3',b'D',b'C',b'high'
b'6c',b'86',10.0,4.0,b'3',b'2',b'D',b'C',b'veryhigh'
b'6c',b'86',10.0,5.0,b'3',b'3',b'D',b'C',b'high'
b'7f',b'87',1.0,2.0,b'2',b'1',b'D',b'F',b'veryhigh'
b'7f',b'87',1.0,3.0,b'3',b'3',b'D',b'F',b'veryhigh'
b'7f',b'87',2.0,1.0,b'2',b'1',b'D',b'F',b'high'
b'7f',b'87',3.0,1.0,b'0',b'1',b'D',b'F',b'low'
b'7f',b'87',3.0,2.0,b'1',b'0',b'D',b'F',b'low'
b'7f',b'87',3.0,3.0,b'0',b'0',b'D',b'F',b'low'
b'7f',b'87',3.0,4.0,b'2',b'1',b'D',b'F',b'low'
b'7f',b'87',3.0,5.0,b'0',b'1',b'D',b'F',b'low'
b'7m',b'87',5.0,1.0,b'2',b'3',b'B',b'M',b'low'
b'7m',b'87',5.0,2.0,b'1',b'2',b'D',b'M',b'average'
b'7m',b'87',5.0,3.0,b'0',b'0',b'D',b'M',b'low'
b'7m',b'87',5.0,4.0,b'1',b'1',b'D',b'M',b'low'
b'7m',b'87',6.0,2.0,b'2',b'1',b'D',b'M',b'low'
b'7m',b'87',6.0,4.0,b'3',b'1',b'D',b'M',b'high'
b'7c',b'87',10.0,1.0,b'3',b'2',b'D',b'C',b'veryhigh'
b'7c',b'87',10.0,2.0,b'3',b'2',b'D',b'C',b'high'
b'7c',b'87',10.0,3.0,b'2',b'2',b'D',b'C',b'high'
b'7c',b'87',10.0,4.0,b'1',b'1',b'O',b'C',b'high'
b'7c',b'87',10.0,5.0,b'2',b'3',b'D',b'C',b'high'
b'8f',b'88',1.0,0.0,b'5',b'3',b'D',b'F',b'veryhigh'
b'8f',b'88',1.0,1.0,b'0',b'0',b'D',b'F',b'low'
b'8f',b'88',1.0,2.0,b'3',b'1',b'D',b'F',b'veryhigh'
b'8f',b'88',1.0,4.0,b'2',b'1',b'D',b'F',b'veryhigh'
b'8f',b'88',3.0,1.0,b'1',b'1',b'D',b'F',b'low'
b'8f',b'88',3.0,2.0,b'2',b'2',b'D',b'F',b'high'
b'8f',b'88',3.0,3.0,b'1',b'0',b'D',b'F',b'low'
b'8m',b'88',6.0,3.0,b'1',b'1',b'D',b'M',b'low'
b'8m',b'88',6.0,4.0,b'0',b'0',b'D',b'M',b'low'
b'8m',b'88',7.0,1.0,b'0',b'1',b'B',b'M',b'low'
b'8m',b'88',7.0,2.0,b'0',b'0',b'B',b'M',b'high'
b'8m',b'88',7.0,3.0,b'1',b'2',b'B',b'M',b'low'
b'8c',b'88',9.0,1.0,b'2',b'2',b'D',b'C',b'average'
b'8c',b'88',9.0,2.0,b'1',b'1',b'D',b'C',b'average'
b'8c',b'88',9.0,3.0,b'2',b'0',b'D',b'C',b'high'
b'8c',b'88',10.0,1.0,b'3',b'3',b'O',b'C',b'high'
b'8c',b'88',10.0,2.0,b'5',b'2',b'D',b'C',b'high'
b'8c',b'88',10.0,4.0,b'4',b'3',b'D',b'C',b'high'
b'9f',b'89',1.0,1.0,b'4',b'4',b'D',b'F',b'high'
b'9f',b'89',1.0,2.0,b'5',b'5',b'D',b'F',b'veryhigh'
b'9f',b'89',1.0,3.0,b'0',b'0',b'D',b'F',b'low'
b'9f',b'89',1.0,4.0,b'2',b'4',b'D',b'F',b'veryhigh'
b'9f',b'89',2.0,1.0,b'4',b'1',b'D',b'F',b'veryhigh'
b'9f',b'89',2.0,2.0,b'2',b'1',b'D',b'F',b'veryhigh'
b'9f',b'89',2.0,3.0,b'3',b'4',b'D',b'F',b'veryhigh'
b'9f',b'89',3.0,1.0,b'1',b'1',b'D',b'F',b'average'
b'9f',b'89',3.0,2.0,b'3',b'2',b'D',b'F',b'high'
b'9f',b'89',3.0,3.0,b'4',b'4',b'D',b'F',b'veryhigh'
b'9f',b'89',4.0,1.0,b'4',b'2',b'D',b'F',b'high'
b'9f',b'89',4.0,2.0,b'1',b'4',b'D',b'F',b'average'
b'9m',b'89',5.0,1.0,b'0',b'0',b'B',b'M',b'low'
b'9m',b'89',5.0,2.0,b'3',b'4',b'D',b'M',b'veryhigh'
b'9m',b'89',6.0,1.0,b'2',b'2',b'D',b'M',b'low'
b'9m',b'89',6.0,2.0,b'4',b'4',b'D',b'M',b'low'
b'9m',b'89',6.0,3.0,b'5',b'4',b'D',b'M',b'average'
b'9m',b'89',7.0,1.0,b'0',b'2',b'B',b'M',b'average'
b'9m',b'89',7.0,2.0,b'1',b'0',b'B',b'M',b'low'
b'9c',b'89',9.0,1.0,b'1',b'2',b'D',b'C',b'low'
b'9c',b'89',9.0,2.0,b'3',b'3',b'D',b'C',b'low'
b'9c',b'89',9.0,3.0,b'2',b'1',b'D',b'C',b'high'
b'9c',b'89',10.0,1.0,b'2',b'4',b'O',b'C',b'average'
b'9c',b'89',10.0,2.0,b'2',b'1',b'D',b'C',b'low'
b'9c',b'89',10.0,3.0,b'1',b'3',b'O',b'C',b'average'
b'0f',b'90',1.0,1.0,b'5',b'5',b'D',b'F',b'high'
b'0f',b'90',1.0,2.0,b'1',b'1',b'D',b'F',b'average'
b'0f',b'90',1.0,3.0,b'1',b'1',b'D',b'F',b'average'
b'0f',b'90',2.0,1.0,b'3',b'3',b'D',b'F',b'high'
b'0f',b'90',2.0,2.0,b'2',b'2',b'D',b'F',b'high'
b'0f',b'90',2.0,3.0,b'0',b'0',b'D',b'F',b'low'
b'0f',b'90',3.0,1.0,b'1',b'1',b'O',b'F',b'average'
b'0f',b'90',3.0,2.0,b'2',b'3',b'D',b'F',b'average'
b'0f',b'90',3.0,3.0,b'4',b'4',b'D',b'F',b'high'
b'0f',b'90',4.0,1.0,b'5',b'4',b'D',b'F',b'average'
b'0f',b'90',4.0,2.0,b'3',b'3',b'D',b'F',b'average'
b'0f',b'90',4.0,3.0,b'3',b'4',b'D',b'F',b'high'
b'0m',b'90',5.0,1.0,b'0',b'0',b'B',b'M',b'low'
b'0m',b'90',5.0,2.0,b'5',b'5',b'D',b'M',b'high'
b'0m',b'90',5.0,3.0,b'1',b'1',b'B',b'M',b'high'
b'0m',b'90',6.0,1.0,b'1',b'1',b'D',b'M',b'low'
b'0m',b'90',6.0,2.0,b'2',b'1',b'D',b'M',b'low'
b'0m',b'90',6.0,3.0,b'4',b'4',b'D',b'M',b'average'
b'0m',b'90',7.0,1.0,b'0',b'0',b'B',b'M',b'low'
b'0m',b'90',7.0,2.0,b'4',b'3',b'D',b'M',b'average'
b'0c',b'90',9.0,1.0,b'4',b'2',b'D',b'C',b'high'
b'0c',b'90',9.0,2.0,b'2',b'2',b'D',b'C',b'average'
b'0c',b'90',9.0,3.0,b'4',b'4',b'D',b'C',b'average'
b'0c',b'90',10.0,1.0,b'3',b'3',b'O',b'C',b'average'
b'0c',b'90',10.0,2.0,b'4',b'4',b'D',b'C',b'high'
b'0c',b'90',10.0,3.0,b'5',b'5',b'O',b'C',b'high'
b'1f',b'91',1.0,1.0,b'1',b'1',b'D',b'F',b'high'
b'1f',b'91',1.0,2.0,b'2',b'2',b'D',b'F',b'average'
b'1f',b'91',1.0,3.0,b'5',b'4',b'D',b'F',b'veryhigh'
b'1f',b'91',2.0,1.0,b'3',b'3',b'D',b'F',b'high'
b'1f',b'91',2.0,2.0,b'1',b'1',b'D',b'F',b'average'
b'1f',b'91',2.0,3.0,b'2',b'1',b'D',b'F',b'low'
b'1f',b'91',3.0,1.0,b'2',b'2',b'D',b'F',b'average'
b'1f',b'91',3.0,2.0,b'0',b'0',b'D',b'F',b'average'
b'1f',b'91',4.0,1.0,b'3',b'2',b'D',b'F',b'low'
b'1f',b'91',4.0,2.0,b'1',b'2',b'D',b'F',b'average'
b'1f',b'91',4.0,3.0,b'1',b'1',b'D',b'F',b'low'
b'1m',b'91',5.0,1.0,b'0',b'1',b'B',b'M',b'low'
b'1m',b'91',5.0,2.0,b'2',b'2',b'B',b'M',b'low'
b'1m',b'91',5.0,3.0,b'2',b'2',b'B',b'M',b'low'
b'1m',b'91',6.0,1.0,b'5',b'5',b'D',b'M',b'average'
b'1m',b'91',6.0,2.0,b'2',b'1',b'B',b'M',b'low'
b'1m',b'91',6.0,3.0,b'3',b'2',b'D',b'M',b'low'
b'1m',b'91',7.0,1.0,b'0',b'0',b'B',b'M',b'low'
b'1m',b'91',7.0,2.0,b'3',b'0',b'D',b'M',b'average'
b'1c',b'91',9.0,1.0,b'3',b'2',b'D',b'C',b'high'
b'1c',b'91',9.0,2.0,b'3',b'3',b'D',b'C',b'low'
b'1c',b'91',9.0,3.0,b'3',b'2',b'B',b'C',b'average'
b'1c',b'91',10.0,1.0,b'5',b'4',b'D',b'C',b'high'
b'1c',b'91',10.0,2.0,b'3',b'3',b'O',b'C',b'average'
b'1c',b'91',10.0,3.0,b'2',b'1',b'O',b'C',b'average'
b'2f',b'92',1.0,1.0,b'1',b'1',b'D',b'F',b'veryhigh'
b'2f',b'92',1.0,2.0,b'0',b'0',b'D',b'F',b'average'
b'2f',b'92',1.0,3.0,b'3',b'3',b'D',b'F',b'low'
b'2f',b'92',1.0,4.0,b'3',b'3',b'D',b'F',b'veryhigh'
b'2f',b'92',2.0,1.0,b'1',b'1',b'D',b'F',b'average'
b'2f',b'92',2.0,2.0,b'2',b'2',b'D',b'F',b'low'
b'2f',b'92',2.0,3.0,b'4',b'4',b'D',b'F',b'average'
b'2f',b'92',3.0,1.0,b'3',b'3',b'D',b'F',b'high'
b'2f',b'92',3.0,2.0,b'2',b'2',b'D',b'F',b'average'
b'2f',b'92',3.0,3.0,b'1',b'1',b'O',b'F',b'high'
b'2f',b'92',4.0,1.0,b'3',b'3',b'D',b'F',b'average'
b'2f',b'92',4.0,2.0,b'4',b'4',b'D',b'F',b'veryhigh'
b'2f',b'92',4.0,3.0,b'1',b'1',b'D',b'F',b'low'
b'2m',b'92',6.0,1.0,b'0',b'0',b'B',b'M',b'low'
b'2m',b'92',6.0,2.0,b'2',b'2',b'D',b'M',b'low'
b'2m',b'92',6.0,3.0,b'4',b'4',b'D',b'M',b'high'
b'2m',b'92',7.0,1.0,b'2',b'1',b'B',b'M',b'average'
b'2m',b'92',7.0,2.0,b'5',b'4',b'D',b'M',b'high'
b'2m',b'92',7.0,3.0,b'3',b'3',b'D',b'M',b'high'
b'2c',b'92',9.0,1.0,b'1',b'2',b'D',b'C',b'veryhigh'
b'2c',b'92',9.0,2.0,b'4',b'4',b'D',b'C',b'high'
b'2c',b'92',9.0,4.0,b'1',b'1',b'B',b'C',b'average'
b'2c',b'92',10.0,1.0,b'3',b'3',b'O',b'C',b'high'
b'2c',b'92',10.0,2.0,b'1',b'1',b'D',b'C',b'average'
b'2c',b'92',10.0,3.0,b'2',b'2',b'O',b'C',b'average'
b'2c',b'92',10.0,4.0,b'3',b'3',b'D',b'C',b'high'
