25.0,9.0,9.0,19.0,12.0,8.0,20.0,0,10.0,0,6,21,8,7,4,7.0,17.0,5
26.0,9.0,9.0,20.0,13.0,8.0,20.0,0,10.0,0,6,21,8,7,4,7.0,17.0,5
25.0,9.0,9.0,22.0,10.0,10.0,23.0,0,13.0,0,6,19,5,6,4,8.0,16.0,5
15.0,10.0,21.0,13.0,18.0,12.0,22.0,1,9.0,2,4,11,5,10,1,14.0,8.0,2
17.0,11.0,22.0,15.0,14.0,10.0,23.0,1,11.0,2,4,11,5,9,1,13.0,9.0,1
22.0,17.0,17.0,16.0,10.0,15.0,13.0,1,7.0,2,3,14,9,9,2,12.0,6.0,2
21.0,18.0,18.0,15.0,11.0,15.0,16.0,1,7.0,2,3,14,6,8,2,12.0,7.0,2
20.0,9.0,16.0,15.0,16.0,6.0,19.0,1,7.0,3,4,14,4,11,1,16.0,11.0,3
22.0,10.0,17.0,18.0,13.0,6.0,21.0,1,8.0,3,4,13,4,11,1,15.0,10.0,3
17.0,13.0,14.0,16.0,4.0,9.0,14.0,1,13.0,0,11,13,5,7,1,4.0,11.0,5
12.0,11.0,9.0,12.0,6.0,5.0,12.0,1,9.0,1,7,12,5,6,0,4.0,8.0,2
18.0,16.0,16.0,16.0,8.0,6.0,14.0,1,14.0,0,9,12,4,8,0,2.0,11.0,3
18.0,16.0,15.0,19.0,8.0,6.0,11.0,1,15.0,1,7,13,5,8,0,2.0,9.0,3
17.0,13.0,13.0,22.0,8.0,4.0,18.0,1,10.0,3,8,11,7,6,1,2.0,10.0,2
16.0,13.0,16.0,21.0,9.0,3.0,17.0,1,10.0,4,7,12,7,5,1,2.0,11.0,3
22.0,19.0,10.0,16.0,10.0,4.0,18.0,1,12.0,2,8,11,6,8,0,1.0,8.0,2
20.0,10.0,24.0,10.0,6.0,9.0,21.0,0,7.0,0,7,18,4,9,1,4.0,8.0,2
20.0,21.0,12.0,15.0,9.0,7.0,11.0,1,9.0,3,8,14,6,7,0,1.0,10.0,3
20.0,21.0,12.0,15.0,9.0,7.0,11.0,1,9.0,3,9,14,5,7,0,1.0,10.0,3
18.0,11.0,24.0,10.0,9.0,6.0,19.0,0,12.0,0,7,14,4,11,0,4.0,9.0,1
20.0,12.0,23.0,10.0,8.0,5.0,20.0,0,13.0,0,6,13,4,11,0,4.0,10.0,1
18.0,19.0,18.0,16.0,8.0,4.0,12.0,0,12.0,0,10,15,8,6,1,1.0,12.0,1
17.0,16.0,17.0,15.0,8.0,6.0,14.0,1,14.0,0,9,12,4,8,0,3.0,11.0,3
19.0,17.0,14.0,16.0,8.0,6.0,14.0,1,14.0,0,8,12,4,8,0,2.0,12.0,3
19.0,17.0,15.0,16.0,8.0,5.0,14.0,1,14.0,0,8,12,4,8,0,2.0,12.0,3
19.0,15.0,16.0,16.0,8.0,6.0,14.0,1,15.0,0,8,12,4,8,0,2.0,12.0,3
17.0,17.0,16.0,19.0,8.0,6.0,11.0,1,15.0,1,7,13,5,8,0,2.0,9.0,3
18.0,17.0,15.0,19.0,8.0,6.0,11.0,1,15.0,1,7,13,5,8,0,2.0,9.0,3
22.0,19.0,10.0,16.0,10.0,4.0,18.0,1,12.0,2,8,11,6,8,0,1.0,8.0,2
22.0,19.0,10.0,16.0,10.0,5.0,17.0,1,12.0,2,8,11,6,8,0,1.0,8.0,2
18.0,20.0,10.0,18.0,6.0,8.0,17.0,1,14.0,1,5,16,4,7,0,2.0,9.0,2
18.0,16.0,16.0,15.0,8.0,6.0,13.0,1,14.0,1,8,12,4,8,1,2.0,12.0,3
20.0,21.0,12.0,15.0,9.0,7.0,11.0,1,10.0,3,8,14,7,7,0,1.0,9.0,3
20.0,21.0,12.0,15.0,9.0,7.0,11.0,1,10.0,3,9,14,5,7,0,1.0,10.0,3
18.0,12.0,23.0,10.0,9.0,5.0,20.0,0,14.0,0,7,12,4,11,0,4.0,10.0,1
18.0,12.0,21.0,10.0,10.0,5.0,18.0,0,13.0,0,8,12,4,12,0,4.0,10.0,1
17.0,12.0,22.0,10.0,8.0,5.0,18.0,0,14.0,0,5,13,4,10,0,3.0,9.0,1
17.0,16.0,16.0,16.0,8.0,6.0,15.0,1,14.0,0,9,12,4,8,0,2.0,11.0,3
19.0,17.0,15.0,17.0,7.0,6.0,15.0,1,14.0,0,8,12,4,8,0,2.0,10.0,3
18.0,16.0,16.0,19.0,8.0,6.0,11.0,1,15.0,1,7,13,5,8,0,2.0,9.0,3
18.0,17.0,15.0,17.0,8.0,6.0,15.0,1,14.0,0,8,12,4,8,0,3.0,9.0,3
15.0,12.0,14.0,23.0,8.0,3.0,17.0,1,9.0,4,7,15,6,6,1,2.0,11.0,2
13.0,11.0,14.0,22.0,7.0,3.0,17.0,1,10.0,4,8,13,6,6,1,3.0,11.0,2
16.0,11.0,15.0,23.0,10.0,4.0,18.0,1,10.0,3,7,12,6,5,1,2.0,9.0,3
14.0,11.0,14.0,25.0,11.0,3.0,19.0,2,10.0,2,7,12,6,5,1,2.0,9.0,3
11.0,11.0,15.0,24.0,10.0,5.0,18.0,1,11.0,1,7,14,5,7,2,3.0,11.0,2
15.0,9.0,12.0,21.0,8.0,4.0,21.0,1,10.0,3,7,15,7,6,1,3.0,10.0,3
15.0,11.0,15.0,22.0,7.0,3.0,19.0,1,8.0,3,4,14,6,5,1,2.0,10.0,2
27.0,8.0,13.0,25.0,12.0,26.0,21.0,1,20.0,0,11,18,5,7,5,7.0,19.0,3
27.0,8.0,13.0,25.0,13.0,27.0,21.0,1,19.0,0,11,18,6,8,5,7.0,19.0,3
27.0,7.0,12.0,25.0,12.0,26.0,21.0,1,20.0,0,11,17,6,8,5,7.0,19.0,3
26.0,8.0,13.0,25.0,13.0,26.0,21.0,1,19.0,0,11,18,6,8,5,8.0,19.0,3
28.0,6.0,13.0,24.0,12.0,30.0,22.0,1,18.0,0,11,18,6,8,4,7.0,19.0,3
27.0,8.0,14.0,25.0,13.0,26.0,21.0,1,18.0,0,11,18,6,8,5,7.0,19.0,3
24.0,15.0,18.0,14.0,10.0,14.0,19.0,1,14.0,7,5,19,4,6,2,12.0,10.0,4
25.0,14.0,15.0,15.0,9.0,12.0,14.0,0,8.0,3,6,12,4,14,1,10.0,8.0,0
29.0,11.0,12.0,23.0,9.0,15.0,23.0,0,16.0,1,10,13,5,8,3,6.0,23.0,5
28.0,15.0,22.0,21.0,7.0,32.0,21.0,1,13.0,2,8,16,12,5,5,8.0,9.0,1
29.0,14.0,22.0,20.0,9.0,20.0,20.0,2,15.0,2,9,16,7,6,6,10.0,13.0,2
29.0,16.0,18.0,18.0,8.0,32.0,22.0,1,14.0,2,9,18,15,4,4,8.0,9.0,1
31.0,14.0,21.0,20.0,9.0,21.0,20.0,3,15.0,2,8,17,6,7,6,10.0,13.0,1
